id_user,word1,word2,totals
suka_case_suka,liatnyaaaa,custom,1
suka_case_suka,case,bertajuk,1
suka_case_suka,bertajuk,alam,1
suka_case_suka,alam,customcasesurabaya,1
suka_case_suka,customcasesurabaya,jualcase,1
suka_case_suka,jualcase,casesamsungj32016,1
suka_case_suka,casesamsungj32016,casingmuslimah,1
suka_case_suka,casingmuslimah,caseoppo,1
suka_case_suka,quoteslangit,islamicquotes,1
suka_case_suka,islamicquotes,islamituindah,1
suka_case_suka,shincan,gahoool,1
suka_case_suka,gahoool,caseoppo,1
suka_case_suka,caseoppo,samsungs10,1
suka_case_suka,samsungs10,caseiphone7,1
suka_case_suka,caseiphone7,xiaominote7,1
suka_case_suka,shincan,makaaaan,1
suka_case_suka,makaaaan,casemurahbanget,1
suka_case_suka,casemurahbanget,casekeren,1
suka_case_suka,casekeren,caseimut,1
suka_case_suka,caseimut,caselucumurah,1
suka_case_suka,its,all,1
suka_case_suka,all,about,1
suka_case_suka,about,shincan,1
suka_case_suka,shincan,casemurah,1
suka_case_suka,casemurah,caseshincan,1
suka_case_suka,caseshincan,caseiphone,1
suka_case_suka,caseiphone,jualcustomcase,1
suka_case_suka,sinchaaan,ucuuul,1
suka_case_suka,ucuuul,jualcasexiaomi,1
suka_case_suka,jualcasexiaomi,casevivo,1
suka_case_suka,casevivo,casehuawei,1
suka_case_suka,casehuawei,casehp,1
suka_case_suka,casehp,caseunikmurah,1
suka_case_suka,unch,unch,6
suka_case_suka,unch,sinchaaaaan,1
suka_case_suka,sinchaaaaan,wanna,1
suka_case_suka,me,jualcustomcase,1
suka_case_suka,jualcase,caseoppo,1
suka_case_suka,casesamsungs8,casesamsungj32016,1
suka_case_suka,special,editiooon,1
suka_case_suka,editiooon,buruan,1
suka_case_suka,buruan,ini,1
suka_case_suka,ini,desain,1
suka_case_suka,desain,special,1
suka_case_suka,special,edition,1
suka_case_suka,edition,cuma,1
suka_case_suka,cuma,dibuka,1
suka_case_suka,dibuka,untuk,1
suka_case_suka,untuk,hari,1
suka_case_suka,hari,ini,1
suka_case_suka,ini,selebihnya,1
suka_case_suka,selebihnya,akan,1
suka_case_suka,akan,di,1
suka_case_suka,di,hapus,1
suka_case_suka,hapus,yang,1
suka_case_suka,yang,berminat,1
suka_case_suka,berminat,cussss,1
suka_case_suka,cussss,dmme,1
suka_case_suka,wa,081339698692,14
suka_case_suka,unch,lucuuu,1
suka_case_suka,lucuuu,bangeeet,1
suka_case_suka,bangeeet,samsungcase,1
suka_case_suka,samsungcase,vivov15,1
suka_case_suka,vivov15,customcasemurahbanget,1
suka_case_suka,customcasemurahbanget,caseoppo,1
suka_case_suka,case,hello,2
suka_case_suka,hello,kitty,4
suka_case_suka,kitty,in,1
suka_case_suka,blue,customcaseku,1
suka_case_suka,jualcase,opposite6890,1
suka_case_suka,opposite6890,samsungcase,1
suka_case_suka,samsungcase,caseiphone7,1
suka_case_suka,kitty,kode,1
suka_case_suka,kode,kit,1
suka_case_suka,kit,24,1
suka_case_suka,24,minat,1
suka_case_suka,minat,cuss,1
suka_case_suka,cuss,dm,2
suka_case_suka,081339698692,caseiphone,1
suka_case_suka,caseiphone,casesamsungj32016,1
suka_case_suka,casesamsungj32016,casevivo,1
suka_case_suka,casevivo,customcasesurakarta,1
suka_case_suka,customcasesurakarta,caseoppo,1
suka_case_suka,katalog,baru,1
suka_case_suka,baru,niih,1
suka_case_suka,niih,hello,1
suka_case_suka,kitty,lucuu,1
suka_case_suka,lucuu,customcaseku,1
suka_case_suka,banyak,yang,3
suka_case_suka,yang,terjadi,1
suka_case_suka,terjadi,banyak,1
suka_case_suka,yang,berubah,1
suka_case_suka,berubah,cuma,1
suka_case_suka,cuma,satu,1
suka_case_suka,satu,yang,1
suka_case_suka,yang,tidak,1
suka_case_suka,tidak,berubah,1
suka_case_suka,berubah,rasa,1
